rater,median_mac,mean_mac,sd_mac,q025_mac,q975_mac
x-ai_grok-4-fast,0.455984076532596,0.456351188112885,0.00578844068785543,0.446290465772889,0.467359302189537
openai_gpt-5-mini,0.442428320697069,0.442636987191695,0.00566153997797629,0.431734474823637,0.454311135535647
openai_gpt-5,0.441905176435954,0.441474618367252,0.00548088366439485,0.429372040684512,0.451590343404969
mistralai_mistral-medium-3.1,0.43851737641031,0.438361802941746,0.00632922921700963,0.42563061897521,0.450012370955976
mistralai_mistral-large-2512,0.431037283818341,0.430769472697309,0.00618964475728128,0.419004160120553,0.441771769587364
meta-llama_llama-3.3-70b-instruct,0.422596853646775,0.42239687415202,0.00647246626017835,0.410114687316026,0.435095716041157
anthropic_claude-3.7-sonnet,0.412620032083122,0.412400957202939,0.00639901025975343,0.399140583373682,0.423800058422808
google_gemini-2.5-flash,0.409295660613554,0.409022677277413,0.00737779936860573,0.394750710808516,0.421962805938173
anthropic_claude-sonnet-4.5,0.400640839649729,0.400825353029714,0.00421897132739658,0.392411477464282,0.40956980107595
openai_gpt-4o-mini,0.399011280512807,0.39892789047849,0.00581731703038255,0.387062857598188,0.410070766404773
google_gemma-3-12b-it,0.395246020389405,0.395252421388559,0.00631075356213351,0.382801790745916,0.408363465024113
deepseek_deepseek-chat-v3-0324,0.393788061210148,0.393956867019484,0.00616001181332253,0.383036623212295,0.407598397430182
qwen_qwen3-235b-a22b-2507,0.391780073143269,0.391190889004615,0.00835466261960615,0.373648127850762,0.406909885705874
moonshotai_kimi-k2,0.389930002112465,0.389609426737171,0.00613756609344951,0.378022363620644,0.401014814823656
qwen_qwen-2.5-72b-instruct,0.376848551354145,0.376846406078096,0.00670070573769005,0.363493836699735,0.389592551678286
meta-llama_llama-4-maverick,0.364546829986456,0.364733112821403,0.00597670630961606,0.353380108112059,0.376654961653275
google_gemini-2.5-flash-lite,0.360147214987729,0.360265277700772,0.00854964145518324,0.343500986833134,0.376638601562469
deepcogito_cogito-v2-preview-llama-405b,0.359261661754788,0.358957440066345,0.0064317565927994,0.347279006623915,0.371180848554653
z-ai_glm-4.6,0.349660457137532,0.349294565265078,0.0059113812005814,0.337987701564272,0.361297741022051
deepseek_deepseek-chat-v3.1,0.345649350452872,0.345747574721302,0.00592089843098842,0.334995885431746,0.357598940704932
mistralai_mistral-small-3.2-24b-instruct,0.33813440336147,0.338576572871459,0.0075666685503948,0.324713998154167,0.35400025687163
openai_gpt-oss-120b,0.328396972060668,0.327990792504874,0.00751576424004396,0.311695231406187,0.342105482080711
deepseek_deepseek-v3.2-20251201,0.325865627150888,0.325584494119429,0.00601383153504777,0.313376236274383,0.336495352010908
ai21_jamba-large-1.7,0.298081666530384,0.298276140624955,0.00688430274695884,0.285495747141768,0.312062984306691
cohere_command-r-plus-08-2024,0.256551715402955,0.256717365325431,0.00641502409164789,0.243343811974536,0.269391851593548
mistralai_mistral-nemo,0.229512218578362,0.229564028720201,0.00467900510577106,0.220270478621952,0.238529410269677
allenai_olmo-3-7b-instruct,0.210900798108418,0.210861197533652,0.00391918072395261,0.203152908299407,0.219085014267098
meta-llama_llama-3.1-8b-instruct,0.167004103133181,0.166820940928549,0.00417666375354704,0.158317292281051,0.174052256834854
gss,0.144146265457438,0.144158657728522,0.00250350475835669,0.139363917172164,0.148992975134595
